Date,open,high,low,close,volume
10/18/2020,11360.31,11505,11346.22,11503.14,23284.04119
10/19/2020,11503.14,11823.99,11407.96,11751.47,47414.53469
10/20/2020,11751.46,12038.38,11677.59,11909.99,62134.75066
10/21/2020,11910,13217.68,11886.95,12780.96,114584.4568
10/22/2020,12780.75,13185,12678.08,12968.52,70038.82414
10/23/2020,12968.84,13027.69,12720.08,12923.07,50386.99984
10/24/2020,12923.06,13166.73,12870,13111.73,35952.20907
10/25/2020,13111.73,13350,12888,13028.83,38481.5795
10/26/2020,13029.64,13238.81,12765,13052.19,60951.67299
10/27/2020,13052.15,13789.29,13019.87,13636.17,80796.554
10/28/2020,13636.16,13859.48,12888,13266.4,94440.56123
10/29/2020,13266.4,13642.91,12920.77,13455.7,74872.60213
10/30/2020,13455.69,13669.98,13115,13560.1,70657.77888
10/31/2020,13560.1,14100,13411.5,13791,67339.23852
11/1/2020,13791,13895,13603,13761.5,36285.64853
11/2/2020,13761.49,13830,13195.05,13549.37,64566.42191
11/3/2020,13549.63,14066.11,13284.99,14023.53,74115.63079
11/4/2020,14023.53,14259,13525,14144.01,93016.98826
11/5/2020,14144.01,15750,14093.56,15590.02,143741.5227
11/6/2020,15590.02,15960,15166,15579.92,122618.1977
11/7/2020,15579.93,15753.52,14344.22,14818.3,101431.2066
11/8/2020,14818.3,15650,14703.88,15475.1,65547.17857
11/9/2020,15475.1,15840,14805.54,15328.41,108976.3341
11/10/2020,15328.41,15460,15072.46,15297.21,61681.91961
11/11/2020,15297.21,15965,15272.68,15684.24,78469.74646
11/12/2020,15684.25,16340.7,15440.64,16291.86,102196.3566
11/13/2020,16291.85,16480,15952.35,16320.7,75691.88101
11/14/2020,16320.04,16326.99,15670,16070.45,59116.34718
11/15/2020,16069.56,16180,15774.72,15957,43596.84151
11/16/2020,15957,16880,15864,16713.57,81300.67592
11/17/2020,16713.08,17858.82,16538,17659.38,115221.4031
11/18/2020,17659.38,18476.93,17214.45,17776.12,149019.7881
11/19/2020,17777.75,18179.8,17335.65,17802.82,93009.56101
11/20/2020,17802.81,18815.22,17740.04,18655.67,88423.01849
11/21/2020,18655.66,18965.9,18308.58,18703.8,75577.45839
11/22/2020,18703.8,18750,17610.86,18414.43,81645.73778
11/23/2020,18413.88,18766,18000,18368,82961.50609
11/24/2020,18368.01,19418.97,18018,19160.01,113581.5092
11/25/2020,19160,19484.21,18500.27,18719.11,93266.57689
11/26/2020,18718.83,18915.03,16188,17149.47,181005.2467
11/27/2020,17149.47,17457.62,16438.08,17139.52,85297.02479
11/28/2020,17139.53,17880.49,16865.56,17719.85,64910.69997
11/29/2020,17719.84,18360.05,17517,18184.99,55329.0163
11/30/2020,18185,19863.16,18184.99,19695.87,115463.4669
12/1/2020,19695.87,19888,18001.12,18764.96,127698.7627
12/2/2020,18764.96,19342,18330,19204.09,75911.01348
12/3/2020,19204.08,19598,18867.2,19421.9,66689.39128
12/4/2020,19422.34,19527,18565.31,18650.52,71283.6682
12/5/2020,18650.51,19177,18500,19147.66,42922.74857
12/6/2020,19147.66,19420,18857,19359.4,37043.09186
12/7/2020,19358.67,19420.91,18902.88,19166.9,41372.29629
12/8/2020,19166.9,19294.84,18200,18324.11,61626.94761
12/9/2020,18324.11,18639.57,17650,18541.28,79585.5538
12/10/2020,18541.29,18557.32,17911.12,18254.63,52890.67509
12/11/2020,18254.81,18292.73,17572.33,18036.53,72610.72426
12/12/2020,18036.53,18948.66,18020.7,18808.69,49519.97843
12/13/2020,18808.69,19411,18711.12,19174.99,56560.82174
12/14/2020,19174.99,19349,19000,19273.14,47257.20129
12/15/2020,19273.69,19570,19050,19426.43,61834.36601
12/16/2020,19426.43,21560,19278.6,21335.52,114306.3356
12/17/2020,21335.52,23800,21230,22797.16,184882.4767
12/18/2020,22797.15,23285.18,22350,23107.39,79646.13432
12/19/2020,23107.39,24171.47,22750,23821.61,86045.06468
12/20/2020,23821.6,24295,23060,23455.52,76690.14569
12/21/2020,23455.54,24102.77,21815,22719.71,88030.29724
12/22/2020,22719.88,23837.1,22353.4,23810.79,87033.12616
12/23/2020,23810.79,24100,22600,23232.76,119047.2597
12/24/2020,23232.39,23794.43,22703.42,23729.2,69013.83425
12/25/2020,23728.99,24789.86,23433.6,24712.47,79519.94357
12/26/2020,24712.47,26867.03,24500,26493.39,97806.51339
12/27/2020,26493.4,28422,25700,26281.66,148455.5862
12/28/2020,26281.54,27500,26101,27079.41,79721.7425
12/29/2020,27079.42,27410,25880,27385,69411.59261
12/30/2020,27385,28996,27320,28875.54,95356.05783
12/31/2020,28875.55,29300,27850,28923.63,75508.50515
1/1/2021,28923.63,29600,28624.57,29331.69,54182.92501
1/2/2021,29331.7,33300,28946.53,32178.33,129993.8734
1/3/2021,32176.45,34778.11,31962.99,33000.05,120957.5668
1/4/2021,33000.05,33600,28130,31988.71,140899.8857
1/5/2021,31989.75,34360,29900,33949.53,116049.997
1/6/2021,33949.53,36939.21,33288,36769.36,127139.2013
1/7/2021,36769.36,40365,36300,39432.28,132825.7004
1/8/2021,39432.48,41950,36500,40582.81,139789.9575
1/9/2021,40586.96,41380,38720,40088.22,75785.97968
1/10/2021,40088.22,41350,35111.11,38150.02,118209.5445
1/11/2021,38150.02,38264.74,30420,35404.47,249131.5399
1/12/2021,35410.37,36628,32531,34051.24,133948.152
1/13/2021,34049.15,37850,32380,37371.38,124477.9149
1/14/2021,37371.38,40100,36701.23,39144.5,102950.3894
1/15/2021,39145.21,39747.76,34408,36742.22,118300.9209
1/16/2021,36737.43,37950,35357.8,35994.98,86348.43151
1/17/2021,35994.98,36852.5,33850,35828.61,80157.72738
1/18/2021,35824.99,37469.83,34800,36631.27,70698.11875
1/19/2021,36622.46,37850,35844.06,35891.49,79611.30777
1/20/2021,35901.94,36415.31,33400,35468.23,89368.42292
1/21/2021,35468.23,35600,30071,30850.13,131803.1829
1/22/2021,30851.99,33826.53,28850,32945.17,142971.684
1/23/2021,32950,33456,31390.16,32078,64595.28768
1/24/2021,32078,33071,30900,32259.9,57978.03797
1/25/2021,32259.45,34875,31910,32254.2,88499.22692
1/26/2021,32254.19,32921.88,30837.37,32467.77,84972.20691
1/27/2021,32464.01,32557.29,29241.72,30366.15,95911.96171
1/28/2021,30362.19,33783.98,29842.1,33364.86,92621.14562
1/29/2021,33368.18,38531.9,31915.4,34252.2,231827.0056
1/30/2021,34246.28,34933,32825,34262.88,84889.68134
1/31/2021,34262.89,34342.69,32171.67,33092.98,68742.28038
2/1/2021,33092.97,34717.27,32296.16,33526.37,82718.27688
2/2/2021,33517.09,35984.33,33418,35466.24,78056.65988
2/3/2021,35472.71,37662.63,35362.38,37618.87,80784.33366
2/4/2021,37620.26,38708.27,36161.95,36936.66,92080.7359
2/5/2021,36936.65,38310.12,36570,38290.24,66681.33428
2/6/2021,38289.32,40955.51,38215.94,39186.94,98757.31118
2/7/2021,39181.01,39700,37351,38795.69,84363.67976
2/8/2021,38795.69,46794.45,37988.89,46374.87,138597.5369
2/9/2021,46374.86,48142.19,44961.09,46420.42,115499.8617
2/10/2021,46420.42,47310,43727,44807.58,97154.1822
2/11/2021,44807.58,48678.9,43994.02,47969.51,89561.08145
2/12/2021,47968.66,48985.8,46125,47287.6,85870.0357
2/13/2021,47298.15,48150,46202.53,47153.69,63768.0974
2/14/2021,47156.78,49707.43,47014.17,48577.79,73735.47553
2/15/2021,48580.47,49010.92,45570.79,47911.1,79398.15678
2/16/2021,47911.1,50689.18,47003.62,49133.45,88813.2663
2/17/2021,49133.45,52618.74,48947,52119.71,85743.63782
2/18/2021,52117.67,52530,50901.9,51552.6,60758.04695
2/19/2021,51552.61,56368,50710.2,55906,79659.77802
2/20/2021,55906,57700.46,53863.93,55841.19,80948.20531
2/21/2021,55841.19,58352.8,55477.59,57408.57,58166.70851
2/22/2021,57412.35,57508.47,47622,54087.67,134019.4349
